"label","actor"
"1xbit",-1
"VirtualCurrencyExchange1",-1
"VirtualCurrencyExchange10",-1
"VirtualCurrencyExchange11",-1
"VirtualCurrencyExchange2",-1
"VirtualCurrencyExchange3",-1
"VirtualCurrencyExchange4",-1
"VirtualCurrencyExchange5",-1
"VirtualCurrencyExchange6",-1
"VirtualCurrencyExchange8",-1
"VirtualCurrencyExchange9",-1
"any-cash",-1
"betcoin-dice","betcoinag"
"binance","binance"
"bitbank","bitbank"
"bitcointoyou","bitcointoyou"
"bitcointoyou.com","bitcointoyou"
"bitfinex","bitfinex"
"bitflyer","bitflyer"
"bitlaunder","bitlaundercom"
"bitpanda","bitpanda"
"bittrex","bittrex"
"bitzlato","bitzlato"
"blender.io","blenderio"
"blockchain.info","blockchain"
"btcbank.com.ua",-1
"changelly","changelly"
"changenow","changenow"
"clipboardwallethijacker",-1
"coinbase","coinbase"
"coincloud",-1
"coincola",-1
"coinfloor.co.uk","coinfloor"
"coinimal.com",-1
"coinmate","coinmate"
"coinpayments","coinpaymentsnet"
"coins.co.th","coinscoth"
"coinspot.com.au","coinspot"
"costis",-1
"cryptocom","cryptocom"
"cryptolocker","cryptolocker"
"cryptolocker-4.0","cryptolocker"
"cryptonator","cryptonatorcom"
"darklaunder",-1
"dsx-exchange",-1
"duckdice.io",-1
"easywallet",-1
"elon-musk",-1
"exmo","exmo"
"f2pool","f2pool"
"faucethub",-1
"fbi",-1
"foxbit","foxbit"
"freewallet",-1
"ftx","ftx"
"gamer",-1
"gate.io","gate"
"gopax","gopax"
"hamas",-1
"hamas-fto",-1
"helix-extensive-usage","helix"
"huobi","huobi"
"huobi.com","huobi"
"indodax","indodax"
"intermediary-to-small-exchange-1",-1
"korbit.co.kr","korbit"
"kraken","kraken"
"kucoin","kucoin"
"litebit","litebit"
"litebit.eu","litebit"
"localbitcoins","localbitcoins"
"luckybit","luckybit"
"maicoin","maicoin"
"matic","polygonbridgestaking"
"mine.exchange",-1
"mybitcoin.com","mybitcoincom"
"mycryptomixer",-1
"okex","okex"
"omegapro.world",-1
"pandukelana2712",-1
"paxful","paxful"
"payeer",-1
"phorpiex",-1
"poloniex","poloniex"
"remitano","remitano"
"renbtc","ren"
"renrenbit",-1
"satoshibones","bitzillionscom"
"satoshidice","satoshidicecom"
"sextorsion",-1
"shapeshift","shapeshift"
"siaclassicteam",-1
"silkroad","silkroadmarketplace"
"sinovatechain",-1
"small-exchange-1",-1
"spectrocoin","spectrocoin"
"sygnia",-1
"tether-scrambler-eth","tether"
"totalcoin",-1
"tradeogre","tradeogre"
"uniswap","uniswap"
"uniswap/huobi","uniswap"
"unknown-owner-111",-1
"unknown-owner-24",-1
"unknown-owner-3",-1
"unocoin","unocoin"
"usdc","circle"
"usdc-burn-bot","circle"
"vce2",-1
"vce4",-1
"wallet-11-(huobi-trader)","huobi"
"wallet-2-(ping-tx)",-1
"wallet-3-(large-trader)",-1
"wallet-4-(large-trader)",-1
"wallet-6-(stablecoin-trader)",
"wallet-7-(stablecoin-trader)",-1
"wallet-8-(trader)",-1
"wallet-9-(stablecoin-trader)",-1
"webmoney",-1
"whale",-1
"whitebit","polygonbridgestaking"
"wintermute","whitebit"
"xapo",-1
"xzzx.biz","xapo"
"yolo-group",-1
"z-exchange.ru",-1
